prompt,output,expert_type
What is 103 + 436?,The answer is 539.,math
What is 271 + 107?,The answer is 378.,math
What is 21 - 615?,The answer is -594.,math
What is 467 × 215?,The answer is 100405.,math
What is 459 + 88?,The answer is 547.,math
What is 100 × 872?,The answer is 87200.,math
What is 662 - 309?,The answer is 353.,math
What is 344 - 492?,The answer is -148.,math
What is 806 + 386?,The answer is 1192.,math
What is 161 - 460?,The answer is -299.,math
What is 22 + 253?,The answer is 275.,math
What is 561 × 475?,The answer is 266475.,math
What is 511 × 682?,The answer is 348502.,math
What is 190 × 958?,The answer is 182020.,math
What is 958 × 563?,The answer is 539354.,math
What is 244 + 832?,The answer is 1076.,math
What is 131 × 485?,The answer is 63535.,math
What is 647 + 21?,The answer is 668.,math
What is 167 + 274?,The answer is 441.,math
What is 316 - 14?,The answer is 302.,math
What is 777 + 346?,The answer is 1123.,math
What is 898 × 340?,The answer is 305320.,math
What is 956 + 455?,The answer is 1411.,math
What is 776 × 943?,The answer is 731768.,math
What is 206 - 81?,The answer is 125.,math
What is 872 - 388?,The answer is 484.,math
What is 390 - 566?,The answer is -176.,math
What is 772 + 822?,The answer is 1594.,math
What is 703 - 402?,The answer is 301.,math
What is 556 - 162?,The answer is 394.,math
What is 958 - 996?,The answer is -38.,math
What is 863 × 816?,The answer is 704208.,math
What is 456 × 462?,The answer is 210672.,math
What is 252 + 702?,The answer is 954.,math
What is 720 - 749?,The answer is -29.,math
What is 879 - 53?,The answer is 826.,math
What is 217 + 764?,The answer is 981.,math
What is 41 × 157?,The answer is 6437.,math
What is 813 + 65?,The answer is 878.,math
What is 839 + 521?,The answer is 1360.,math
What is 648 × 472?,The answer is 305856.,math
What is 139 + 499?,The answer is 638.,math
What is 392 × 675?,The answer is 264600.,math
What is 289 + 379?,The answer is 668.,math
What is 490 - 231?,The answer is 259.,math
What is 41 × 28?,The answer is 1148.,math
What is 201 - 840?,The answer is -639.,math
What is 33 × 48?,The answer is 1584.,math
What is 407 + 574?,The answer is 981.,math
What is 99 - 684?,The answer is -585.,math
What is 987 + 547?,The answer is 1534.,math
What is 739 × 613?,The answer is 453007.,math
What is 462 + 643?,The answer is 1105.,math
What is 5 × 218?,The answer is 1090.,math
What is 767 × 398?,The answer is 305266.,math
What is 795 × 393?,The answer is 312435.,math
What is 15 - 858?,The answer is -843.,math
What is 892 × 461?,The answer is 411212.,math
What is 575 × 864?,The answer is 496800.,math
What is 241 + 564?,The answer is 805.,math
What is 96 - 900?,The answer is -804.,math
What is 485 × 407?,The answer is 197395.,math
What is 749 × 655?,The answer is 490595.,math
What is 541 + 36?,The answer is 577.,math
What is 160 × 839?,The answer is 134240.,math
What is 243 - 86?,The answer is 157.,math
What is 682 - 557?,The answer is 125.,math
What is 953 - 646?,The answer is 307.,math
What is 958 - 331?,The answer is 627.,math
